benchmark,board,environment,category,type,size,total_size,section_total_size
tarfind,native64,jerryscript,Runtime,.text,196926,3176968,217643
tarfind,native64,jerryscript,Kernel,.text,20290,3176968,217643
tarfind,native64,jerryscript,fill,.text,12,3176968,217643
tarfind,native64,jerryscript,unspecified,.text,431,3176968,217643
tarfind,native64,jerryscript,Kernel,.data,17513,3176968,88
tarfind,native64,jerryscript,Runtime,.data,27835,3176968,88
tarfind,native64,jerryscript,fill,.data,617,3176968,88
tarfind,native64,jerryscript,Application,.data,1859,3176968,88
tarfind,native64,jerryscript,unspecified,.data,6046,3176968,88
tarfind,native64,jerryscript,Unspecified,.data,36828,3176968,88
tarfind,native64,jerryscript,unspecified,.bss,49,3176968,71760
tarfind,native64,jerryscript,fill,.bss,120,3176968,71760
tarfind,native64,jerryscript,Kernel,.bss,2524088,3176968,71760
tarfind,native64,jerryscript,Heap,.bss,8192,3176968,71760
tarfind,native64,jerryscript,Runtime,.bss,4304,3176968,71760
tarfind,native64,jerryscript,app,.bss,44,3176968,71760
tarfind,native64,jerryscript,Unspecified,.bss,5588,3176968,71760
tarfind,native64,jerryscript,Debug,.bss,12850232,3176968,71760
tarfind,native64,lua,Kernel,.text,19812,2311738,176071
tarfind,native64,lua,fill,.text,25,2311738,176071
tarfind,native64,lua,unspecified,.text,431,2311738,176071
tarfind,native64,lua,Runtime,.text,155819,2311738,176071
tarfind,native64,lua,Kernel,.data,17705,2311738,88
tarfind,native64,lua,Runtime,.data,68521,2311738,88
tarfind,native64,lua,fill,.data,134,2311738,88
tarfind,native64,lua,Application,.data,1607,2311738,88
tarfind,native64,lua,unspecified,.data,1640,2311738,88
tarfind,native64,lua,Unspecified,.data,172,2311738,88
tarfind,native64,lua,unspecified,.bss,73,2311738,119296
tarfind,native64,lua,fill,.bss,104,2311738,119296
tarfind,native64,lua,Heap,.bss,60000,2311738,119296
tarfind,native64,lua,Kernel,.bss,2524753,2311738,119296
tarfind,native64,lua,app,.bss,44,2311738,119296
tarfind,native64,lua,Unspecified,.bss,1100,2311738,119296
tarfind,native64,lua,Runtime,.bss,2904841,2311738,119296
tarfind,native64,lua,Debug,.bss,1182177,2311738,119296
tarfind,native64,micropython,Kernel,.text,16444,2687275,144179
tarfind,native64,micropython,unspecified,.text,331,2687275,144179
tarfind,native64,micropython,fill,.text,127,2687275,144179
tarfind,native64,micropython,Runtime,.text,127285,2687275,144179
tarfind,native64,micropython,Kernel,.data,17536,2687275,120
tarfind,native64,micropython,Runtime,.data,84907,2687275,120
tarfind,native64,micropython,fill,.data,1250,2687275,120
tarfind,native64,micropython,Application,.data,1839,2687275,120
tarfind,native64,micropython,Unspecified,.data,180,2687275,120
tarfind,native64,micropython,unspecified,.data,984,2687275,120
tarfind,native64,micropython,unspecified,.bss,49,2687275,130240
tarfind,native64,micropython,fill,.bss,128,2687275,130240
tarfind,native64,micropython,Heap,.bss,25000,2687275,130240
tarfind,native64,micropython,Kernel,.bss,2514774,2687275,130240
tarfind,native64,micropython,Runtime,.bss,7110688,2687275,130240
tarfind,native64,micropython,app,.bss,44,2687275,130240
tarfind,native64,micropython,Unspecified,.bss,924,2687275,130240
tarfind,native64,micropython,Debug,.bss,937855,2687275,130240
tarfind,native64,native,Kernel,.text,20103,1059380,20791
tarfind,native64,native,fill,.text,25,1059380,20791
tarfind,native64,native,unspecified,.text,431,1059380,20791
tarfind,native64,native,Runtime,.text,240,1059380,20791
tarfind,native64,native,Kernel,.data,14347,1059380,88
tarfind,native64,native,fill,.data,23,1059380,88
tarfind,native64,native,Unspecified,.data,172,1059380,88
tarfind,native64,native,unspecified,.data,784,1059380,88
tarfind,native64,native,unspecified,.bss,41,1059380,59200
tarfind,native64,native,fill,.bss,112,1059380,59200
tarfind,native64,native,Kernel,.bss,2404021,1059380,59200
tarfind,native64,native,app,.bss,44,1059380,59200
